pos,White,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.8681318681318682,0.001998001998001998,0.03796203796203796,0.03196803196803197,0.02197802197802198,0.02097902097902098,0.01098901098901099,0.005994005994005994
2000.0,0.8355822088955522,0.0034982508745627187,0.04697651174412794,0.06296851574212893,0.02348825587206397,0.010494752623688156,0.013493253373313344,0.0034982508745627187
3000.0,0.8040653115628124,0.006664445184938354,0.05664778407197601,0.06531156281239586,0.02865711429523492,0.016327890703098966,0.016661112962345886,0.005664778407197601
4000.0,0.8530367408147963,0.0049987503124218945,0.0424893776555861,0.048987753061734564,0.021494626343414147,0.012246938265433641,0.012496875781054736,0.00424893776555861
5000.0,0.8040391921615677,0.006998600279944011,0.05418916216756649,0.0597880423915217,0.027994401119776045,0.02519496100779844,0.016596680663867228,0.005198960207958408
6000.0,0.8366938843526079,0.005832361273121147,0.04515914014330945,0.04982502916180637,0.023329445092484587,0.020996500583236127,0.013831028161973005,0.004332611231461423
7000.0,0.8600199971432653,0.0049992858163119555,0.038708755892015424,0.04270818454506499,0.019997143265247822,0.01799742893872304,0.01185544922153978,0.0037137551778317385
8000.0,0.8115235595550556,0.005374328208973878,0.046869141357330335,0.069241344831896,0.024246969128858892,0.021872265966754154,0.014373203349581302,0.0064991876015498065
9000.0,0.8262415287190312,0.004777246972558605,0.04166203755138318,0.06777024775024998,0.021553160759915566,0.019442284190645483,0.012776358182424175,0.005777135873791801
10000.0,0.8436156384361564,0.004299570042995701,0.0374962503749625,0.060993900609939006,0.0193980601939806,0.0174982501749825,0.011498850114988501,0.0051994800519948
11000.0,0.8382874284155986,0.004908644668666485,0.04135987637487501,0.05544950459049177,0.023816016725752204,0.01590764475956731,0.014725934005999454,0.005544950459049177
12000.0,0.8279310057495208,0.004749604199650029,0.04041329889175902,0.06732772268977585,0.021831514040496627,0.01908174318806766,0.013498875093742188,0.005166236146987751
13000.0,0.8411660641489116,0.0043842781324513495,0.0373048227059457,0.062149065456503345,0.02015229597723252,0.017614029690023843,0.012460579955388048,0.004768863933543574
14000.0,0.8525105349617884,0.004071137775873152,0.034640382829797874,0.05771016355974573,0.018712949075066068,0.01635597457324477,0.011570602099850011,0.004428255124633955
15000.0,0.8298113459102726,0.004466368908739417,0.03813079128058129,0.06366242250516632,0.024398373441770548,0.019465368975401638,0.014932337844143724,0.005132991133924405
16000.0,0.840447472032998,0.0041872382976064,0.03574776576463971,0.05968376976438972,0.022873570401849886,0.018248859446284606,0.013999125054684083,0.004812199237547653
17000.0,0.8498323628021881,0.0039409446503146876,0.03364507970119405,0.05617316628433622,0.021528145403211577,0.017175460267043117,0.013175695547320745,0.004529145344391507
18000.0,0.8328426198544525,0.0046108549525026386,0.04166435198044553,0.06027442919837787,0.023276484639742235,0.018221209932781514,0.013999222265429698,0.0051108271762679855
19000.0,0.8416399136887532,0.004368191147834324,0.03947160675753908,0.05710225777590653,0.02205147097521183,0.01726224935529709,0.013262459870533129,0.004841850428924793
20000.0,0.84060796960152,0.004449777511124443,0.03749812509374531,0.05879706014699265,0.022598870056497175,0.01774911254437278,0.01319934003299835,0.0050997450127493625
21000.0,0.8385314985000715,0.004523594114565973,0.03937907718680063,0.058997190609970954,0.02242750345221656,0.01766582543688396,0.013475548783391267,0.004999761916099233
