pos,White,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican
19920.0,0.83996787309874,0.004467647206465539,0.03764871241403544,0.05903318106520757,0.022689624014858693,0.017820390542643443,0.013252346769740474,0.00512022488830882
19930.0,0.8400481661732979,0.004465405649490743,0.037629822888966935,0.059003562289900155,0.02267823992775074,0.017811449500777683,0.013245697656916362,0.005117655912899503
19940.0,0.8401283787172158,0.00446316634070508,0.037610952309312475,0.05897397322100196,0.022666867258412316,0.017802517426407902,0.01323905521287799,0.005115089514066497
19950.0,0.8402085108515864,0.004460929276727983,0.03759210064658413,0.05894441381384392,0.022655505989674703,0.017793594306049824,0.013232419427597614,0.005112525687935442
19960.0,0.8402885626972597,0.004458694454185662,0.03757326787235109,0.0589148840238465,0.02264415610440359,0.01778468012624618,0.013225790291067581,0.005109964430639748
19970.0,0.8403685343748435,0.004456461869711081,0.03755445395823945,0.058885383806519455,0.022632817585498975,0.01777577487356667,0.013219167793300285,0.005107405738320565
19980.0,0.8404484260047045,0.004454231519943947,0.03753565887593214,0.05885591311746159,0.0226214904158951,0.01776687853460788,0.013212551924328112,0.005104849607126771
19990.0,0.8405282377069682,0.004452003401530688,0.037516882597168726,0.05882647191236056,0.022610174578560353,0.017757991095993197,0.013205942674203391,0.0051022960332149465
20000.0,0.84060796960152,0.004449777511124443,0.03749812509374531,0.05879706014699265,0.022598870056497175,0.01774911254437278,0.01319934003299835,0.0050997450127493625
20010.0,0.8406876218080056,0.004447553845385038,0.03747938633751437,0.05876767777722253,0.02258757683274199,0.017740242866423468,0.013192743990805058,0.005097196541901954
20020.0,0.8407671944458319,0.004445332400978972,0.037460666300384596,0.05873832475900305,0.022576294890365115,0.01773138204884871,0.013186154537735377,0.005094650616852305
20030.0,0.840846687634167,0.0044431131745794016,0.037441964954320804,0.058709001048375016,0.02256502421247067,0.017722530078378512,0.013179571663920923,0.005092107233787629
20040.0,0.8409261014919415,0.004440896162866125,0.03742328227134375,0.05867970660146699,0.022553764782196496,0.017713686941769374,0.013172995359512999,0.00508956638890275
20050.0,0.8410054361378485,0.00443868136252556,0.03740461822353,0.05865044137449504,0.02254251658271408,0.0177048526258042,0.013166425614682559,0.00508702807840008
20060.0,0.8410846916903445,0.004436468770250735,0.03738597278301181,0.058621205323762526,0.022531279597228452,0.01769602711729226,0.013159862419620158,0.005084492298489607
