pos,ndcg,P$@$k
0.0,,1.0
100.0,1.0,1.0
200.0,1.0,1.0
300.0,1.0,0.9800664451827242
400.0,1.0,0.8179551122194514
500.0,1.0,0.7225548902195609
600.0,0.9987358348589984,0.6888519134775375
700.0,0.9987298111246687,0.7902995720399429
800.0,0.9988232195596791,0.867665418227216
900.0,0.9996573393309625,0.9356270810210877
1000.0,0.9999133042634055,0.988011988011988
1100.0,0.9999435757580616,0.9554950045413261
1200.0,0.9999473110250063,0.9184013322231473
1300.0,0.9999505465694793,0.8747117601844735
1400.0,0.9999533789435696,0.8365453247680228
1500.0,0.999955881005704,0.8067954696868754
1600.0,0.9993352233772707,0.8051217988757027
1700.0,0.9993662571098446,0.8389182833627278
1800.0,0.9993491879085651,0.8711826762909495
1900.0,0.9993765799782414,0.9053129931614939
2000.0,0.999401591506652,0.9280359820089955
2100.0,0.9998512717038281,0.9547834364588291
2200.0,0.9999110680019012,0.9745570195365743
2300.0,0.9999141978673662,0.9930465015210778
2400.0,0.9999517028850431,0.9812578092461475
2500.0,0.9999532407026868,0.9544182327069173
2600.0,0.9996586124328499,0.9304113802383699
2700.0,0.9995236573528554,0.9100333209922251
2800.0,0.999537311914741,0.8918243484469832
2900.0,0.9995501492042119,0.8738366080661841
3000.0,0.9995622423952241,0.8557147617460846
3100.0,0.9998855920271639,0.8445662689455015
3200.0,0.9999533450113636,0.8587941268353639
3300.0,0.9999544673545583,0.8730687670402908
3400.0,0.9999555330689992,0.8888562187591885
3500.0,0.9999430040367608,0.9023136246786633
3600.0,0.9998834016435787,0.9153013051930019
3700.0,0.9998859261501347,0.9278573358551743
3800.0,0.9998883358863482,0.9392265193370166
3900.0,0.99989063871121,0.9500128172263522
4000.0,0.9998928417719614,0.9625093726568358
4100.0,0.9998949515836152,0.9734211168007803
4200.0,0.9998969740979856,0.9821471078314687
4300.0,0.9998989147638061,0.9927923738665426
4400.0,0.9999622715304938,0.9913655987275619
4500.0,0.999962937049277,0.9791157520550988
4600.0,0.9999635778307335,0.9682677678765486
4700.0,0.9999641952657425,0.9570304190597745
4800.0,0.9999647906413031,0.947094355342637
4900.0,0.9999653651501482,0.9363395225464191
5000.0,0.9999659198992998,0.9264147170565887
5100.0,0.999966455917705,0.9155067633797295
5200.0,0.9999669741630637,0.9063641607383196
5300.0,0.9999674755279478,0.8970005659309565
5400.0,0.9999679608452966,0.8874282540270321
5500.0,0.9999684308933589,0.878931103435739
5600.0,0.9997488569143494,0.8777004106409569
5700.0,0.9997523364561127,0.8887914400982284
5800.0,0.9997557141349623,0.8984657817617652
5900.0,0.999758994478838,0.9083206236231147
6000.0,0.9997621817472585,0.9161806365605732
6100.0,0.9996480211015668,0.9231273561711195
6200.0,0.9996525391822856,0.9325915174971778
6300.0,0.9996569347212225,0.9420726868750992
6400.0,0.9996612127677954,0.9493829089204812
6500.0,0.9996669136053848,0.9570835256114444
6600.0,0.9998573424397387,0.9640963490380245
6700.0,0.9998605421893634,0.9719444858976273
6800.0,0.9998621874827182,0.9770621967357741
6900.0,0.9998637917631537,0.9836255615128242
7000.0,0.9998653565847058,0.9892872446793315
7100.0,0.9999689323020964,0.9991550485847064
7200.0,0.9999692715532239,0.9905568671017915
7300.0,0.9999696029623727,0.9830160252020271
7400.0,0.9999699268055795,0.9740575597892177
7500.0,0.9999702433458824,0.9665377949606719
7600.0,0.9999705528340853,0.959479015918958
7700.0,0.9999708555094677,0.9523438514478639
7800.0,0.9999711516004457,0.9453916164594283
7900.0,0.9999714413251877,0.9392481964308316
8000.0,0.9999717248921883,0.9323834520684915
8100.0,0.9999720025008032,0.9265522774966054
8200.0,0.99997227434175,0.920009754907938
8300.0,0.999972540597575,0.9137453318877243
8400.0,0.9999435898028584,0.9083442447327699
8500.0,0.9997031543760164,0.911069285966357
8600.0,0.9994811935732153,0.9116381816067899
8700.0,0.9994262769382181,0.9154120216067119
8800.0,0.9994313691668136,0.9225088058175207
8900.0,0.9994363655966813,0.9294461296483542
9000.0,0.9993600107454915,0.9347850238862349
9100.0,0.9993309406278826,0.9413251291066915
9200.0,0.9993366479402134,0.9473970220628193
9300.0,0.9993422520847578,0.9533383507149769
9400.0,0.9994000644319101,0.9591532815657908
9500.0,0.9994748091295933,0.9653720660983054
9600.0,0.9996919645169566,0.9720862410165608
9700.0,0.9998598606655239,0.9761880218534171
9800.0,0.9998609902591694,0.9809203142536476
9900.0,0.9998621005647914,0.9854560145439855
10000.0,0.9998631920850156,0.9897010298970103
10100.0,0.9999535399841578,0.9987129987129987
10200.0,0.9999692498572093,0.9952945789628468
10300.0,0.9999694807305609,0.9902922046403262
10400.0,0.999969707925899,0.9851937313719835
10500.0,0.9999699315327804,0.9798114465289021
10600.0,0.9999701516378332,0.9746250353740213
10700.0,0.9999703683248774,0.9704700495280815
10800.0,0.9999705816750373,0.9649106564207018
10900.0,0.9999707917668517,0.9599119346848913
11000.0,0.9999709986763762,0.9554585946732115
11100.0,0.9999712024772822,0.9513557337176831
11200.0,0.9999714032409497,0.9469690206231587
11300.0,0.9999716010365575,0.9426599415980886
11400.0,0.9999717959311679,0.9386018770283309
11500.0,0.9999719879898081,0.9341796365533432
11600.0,0.999873578120667,0.9312990259460391
11700.0,0.9997081297446608,0.9313733868900094
11800.0,0.9996201027555253,0.9304296246080841
11900.0,0.9996122771057062,0.9341231829258045
12000.0,0.9996147514265775,0.9397550204149654
12100.0,0.9995846312314995,0.944136848194364
12200.0,0.9995156120569924,0.9491025325792968
12300.0,0.999486533571234,0.9535810096740103
12400.0,0.9994897177922452,0.9577453431174905
12500.0,0.9994928600904435,0.9618430525557955
12600.0,0.9995252630278463,0.9667486707404175
12700.0,0.9995281460459672,0.9707109676403433
12800.0,0.9996951741883549,0.9741426451058511
12900.0,0.9998122273332197,0.977831175877839
13000.0,0.9998414481758915,0.9808476271056072
13100.0,0.9998423851646552,0.9838180291580796
13200.0,0.999843310403057,0.9875766987349444
13300.0,0.9998936157944938,0.9933087737764078
13400.0,0.9999706701508739,0.9994030296246549
13500.0,0.9999708343082843,0.9957040219243019
13600.0,0.9999709965126956,0.9924270274244541
13700.0,0.9999711567997146,0.9885409824100431
13800.0,0.999971315204073,0.9842040431852764
13900.0,0.9999714717596558,0.9804330623696137
14000.0,0.9999716264995262,0.9767873723305478
14100.0,0.9999717794559515,0.9730515566271896
14200.0,0.9999719306604266,0.9695091894936976
14300.0,0.9999720801436972,0.9658765121320187
14400.0,0.9999722279357826,0.9622248454968405
14500.0,0.9999723740659967,0.958968347010551
14600.0,0.9999725185629695,0.955482501198548
14700.0,0.9999251340101185,0.9530644173865723
14800.0,0.9998339412570917,0.9533815282751166
14900.0,0.9997859461670833,0.9546339171867659
15000.0,0.999787008845497,0.9586027598160123
15100.0,0.9997517677375518,0.9625190384742732
15200.0,0.9996905439107144,0.9661864351029538
15300.0,0.9996647687912203,0.9700019606561663
15400.0,0.9996663962382655,0.9733134212064152
15500.0,0.9996726205248613,0.9768402038578157
15600.0,0.9996756051769161,0.980129478879559
15700.0,0.9997593127687237,0.9825488822368003
15800.0,0.9998421819811814,0.985633820644263
15900.0,0.999851266702657,0.9881139550971637
16000.0,0.999851965587663,0.99000062496094
16100.0,0.9999076363596652,0.994658716849885
16200.0,0.9999726789647282,0.9997531016603913
16300.0,0.9999728016344832,0.9960125145696583
16400.0,0.9999729231310778,0.9927443448570209
16500.0,0.9999730434717465,0.9894551845342706
16600.0,0.9999731626733827,0.9862658875971327
16700.0,0.9999732807525458,0.9834740434704509
16800.0,0.9999733977254706,0.980596393071841
16900.0,0.9999735136080748,0.9777527956925626
17000.0,0.9999736284159673,0.9743544497382507
17100.0,0.9999737421644546,0.9709373720835038
17200.0,0.9999738548685496,0.96819952328353
17300.0,0.9998882141287857,0.9680365296803652
17400.0,0.9998242725875965,0.9686799609217861
17500.0,0.9997942236638045,0.9706302497000171
17600.0,0.9997347680099852,0.9741491960684052
17700.0,0.9997002750897885,0.9772894186769109
